Kemna–Vorst sensitivity (arithmetic Asian call, geometric control).
S0=100.0, T=1.0, r=0.05, N_steps=252, M=50,000
VR = (mean vanilla stderr / mean KV stderr)^2 over 14 trials.
rho = median Pearson corr(discounted arith payoff, disc. geo payoff) over 5 path panels.

 sigma         K    K/S0   mean_v_se   mean_cv_se          VR       rho
-----------------------------------------------------------------------
  0.15      85.0    0.85    0.037892     0.000737      2640.3    0.9998
  0.15      90.0    0.90    0.036483     0.000681      2873.9    0.9998
  0.15      95.0    0.95    0.033008     0.000621      2826.7    0.9998
  0.15     100.0    1.00    0.027243     0.000572      2270.7    0.9998
  0.15     105.0    1.05    0.020202     0.000535      1426.1    0.9997
  0.15     110.0    1.10    0.013507     0.000506       713.3    0.9993
  0.15     115.0    1.15    0.008216     0.000454       327.2    0.9984
  0.20      85.0    0.85    0.049398     0.001226      1624.7    0.9997
  0.20      90.0    0.90    0.046592     0.001139      1673.0    0.9997
  0.20      95.0    0.95    0.042021     0.001057      1581.4    0.9997
  0.20     100.0    1.00    0.035809     0.000990      1307.8    0.9996
  0.20     105.0    1.05    0.028766     0.000936       944.8    0.9995
  0.20     110.0    1.10    0.021892     0.000895       598.5    0.9991
  0.20     115.0    1.15    0.016037     0.000854       352.4    0.9986
  0.25      85.0    0.85    0.060254     0.001835      1078.5    0.9995
  0.25      90.0    0.90    0.056495     0.001722      1076.0    0.9995
  0.25      95.0    0.95    0.051184     0.001620       997.9    0.9995
  0.25     100.0    1.00    0.044667     0.001531       851.3    0.9994
  0.25     105.0    1.05    0.037626     0.001459       664.8    0.9992
  0.25     110.0    1.10    0.030808     0.001409       478.1    0.9990
  0.25     115.0    1.15    0.024568     0.001368       322.4    0.9985
  0.30      85.0    0.85    0.070781     0.002587       748.8    0.9993
  0.30      90.0    0.90    0.066211     0.002442       735.1    0.9993
  0.30      95.0    0.95    0.060649     0.002324       681.0    0.9993
  0.30     100.0    1.00    0.054024     0.002213       595.7    0.9992
  0.30     105.0    1.05    0.046988     0.002119       491.5    0.9990
  0.30     110.0    1.10    0.040149     0.002057       380.9    0.9987
  0.30     115.0    1.15    0.033661     0.002003       282.4    0.9983
  0.40      85.0    0.85    0.091817     0.004529       411.0    0.9988
  0.40      90.0    0.90    0.086477     0.004336       397.7    0.9987
  0.40      95.0    0.95    0.080283     0.004159       372.7    0.9986
  0.40     100.0    1.00    0.073703     0.004054       330.6    0.9985
  0.40     105.0    1.05    0.067136     0.003937       290.8    0.9982
  0.40     110.0    1.10    0.060348     0.003820       249.6    0.9980
  0.40     115.0    1.15    0.053939     0.003736       208.4    0.9976
