sigma,strike,beta,standard_deviation_ratio_beta_one,variance_ratio_beta_one,matched_exceedance_range_ratio_proxy,std_ratio_over_range_ratio,n_trials,paths_per_trial
0.1,90.0,1.0,62.71988705710017,3933.7842324554017,43.9,1.4286990218018263,8,500000
0.1,95.0,1.0,57.564671082910785,3313.691356883705,37.3,1.5432887689788415,8,500000
0.1,100.0,1.0,43.80824764229902,1919.1625614889979,30.6,1.4316420798136935,8,500000
0.1,105.0,1.0,27.03811221580952,731.059512194708,23.4,1.1554748810175008,8,500000
0.1,110.0,1.0,15.101100558000406,228.04323806284017,16.7,0.9042575184431381,8,500000
0.15,90.0,1.0,43.0148236131096,1850.2750504669311,27.2,1.5814273387172646,8,500000
0.15,95.0,1.0,37.82940121898025,1431.0635965865845,24.1,1.569684697882998,8,500000
0.15,100.0,1.0,30.193627391744712,911.6551350715166,21.0,1.437791780559272,8,500000
0.15,105.0,1.0,22.07737042854813,487.41028503933137,17.9,1.2333726496395603,8,500000
0.15,110.0,1.0,15.305839872590404,234.26873420537825,14.7,1.0412135967748575,8,500000
0.2,90.0,1.0,31.151225387663754,970.3988431530267,19.6,1.5893482340644771,8,500000
0.2,95.0,1.0,27.40169448456672,750.8528606255342,17.6,1.5569144593503816,8,500000
0.2,100.0,1.0,22.84291357818967,521.798700740642,16.0,1.4276820986368544,8,500000
0.2,105.0,1.0,18.19121722185228,330.920384012615,14.1,1.2901572497767575,8,500000
0.2,110.0,1.0,14.055634886239718,197.560872055279,12.4,1.133518942438687,8,500000
0.3,90.0,1.0,19.1206837998955,365.60054897558615,12.2,1.5672691639258607,8,500000
0.3,95.0,1.0,17.225479819766168,296.7171550211715,11.5,1.4978678104144494,8,500000
0.3,100.0,1.0,15.197835611763542,230.97420728218813,10.7,1.4203584683891162,8,500000
0.3,105.0,1.0,13.179698967226807,173.70446486671938,10.0,1.3179698967226807,8,500000
0.3,110.0,1.0,11.290965861379254,127.48591008283177,9.3,1.2140823506859413,8,500000
0.4,90.0,1.0,13.40950426578811,179.81480465418952,8.9,1.5066858725604617,8,500000
0.4,95.0,1.0,12.353406095007735,152.60664214817425,8.4,1.470643582739016,8,500000
0.4,100.0,1.0,11.267605945731155,126.95894374827608,8.0,1.4084507432163944,8,500000
0.4,105.0,1.0,10.19439259738552,103.92564042962867,7.7,1.3239470905695478,8,500000
0.4,110.0,1.0,9.168183242148054,84.0555839616044,7.4,1.2389436813713586,8,500000
