Measured IAE oracle queries at equal dollar error, raw vs residual
alpha=0.32, 8 trials/point, medians reported

  n_dates  eps($)  enc   eps_a      A-calls    |err|($)   meas.ratio  envelope.ratio
     2     0.20   raw          0.00497     19,456    0.0258           -           -
     2     0.20   R1             0.223      2,048    0.0079         9.5        70.7
     2     0.10   raw          0.00249     20,480    0.0257           -           -
     2     0.10   R1             0.112      2,048    0.0079        10.0        61.9
     2     0.05   raw          0.00124    378,880    0.0014           -           -
     2     0.05   R1            0.0558      2,048    0.0079       185.0        57.6
     3     0.20   raw           0.0045     17,408    0.0154           -           -
     3     0.20   R1             0.125      2,048    0.0125         8.5        38.1
     3     0.10   raw          0.00225    135,680    0.0051           -           -
     3     0.10   R1            0.0626      2,048    0.0125        66.2        35.3
     3     0.05   raw          0.00112    329,728    0.0017           -           -
     3     0.05   R1            0.0313      2,048    0.0125       161.0        33.7
     4     0.20   raw          0.00408     17,408    0.0232           -           -
     4     0.20   R1            0.0877      2,048    0.0178         8.5        27.8
     4     0.20   R2             0.435      2,048    0.0041         8.5       245.7
     4     0.10   raw          0.00204    244,736    0.0035           -           -
     4     0.10   R1            0.0438      2,048    0.0178       119.5        26.3
     4     0.10   R2             0.217      2,048    0.0042       119.5       173.3

checks: ALL PASS
