sigma,strike,n_paths_per_trial,n_trials,mean_vanilla_se,mean_cv_se,variance_reduction,minimum_payoff_correlation,mean_payoff_correlation
0.1,90.0,500000,8,0.007974331218010285,0.0001076751768085821,5484.756525975556,0.9999082543272331,0.9999088333928647
0.1,95.0,500000,8,0.007478222507976206,9.757369961282605e-05,5873.963208921583,0.999914212510901,0.9999148742500426
0.1,100.0,500000,8,0.005989377417874372,8.737102763564101e-05,4699.249176884841,0.9998926806111386,0.9998935934248414
0.1,105.0,500000,8,0.003777567107132357,8.032120946619373e-05,2211.8918964585596,0.999771855512666,0.9997739211717181
0.1,110.0,500000,8,0.0018607437551956044,7.10592140791527e-05,685.6971439972993,0.9992582908198662,0.9992705229807518
0.15,90.0,500000,8,0.011535449313821127,0.0002157325788719815,2859.1540815456992,0.9998243168140495,0.9998251075205971
0.15,95.0,500000,8,0.010439604120486917,0.0001966583250770591,2818.015569634227,0.9998214737165211,0.9998225539387102
0.15,100.0,500000,8,0.008609163733137361,0.0001808058813741879,2267.236518940952,0.9997781083426671,0.9997794417746979
0.15,105.0,500000,8,0.006384066080318697,0.0001693463286352347,1421.160656200632,0.9996451709051859,0.9996481106466781
0.15,110.0,500000,8,0.004272362946486951,0.00015932960318441766,719.0239071208016,0.9992979455363473,0.9993043634491555
0.2,90.0,500000,8,0.014762849395112094,0.0003600741832481449,1680.956249075053,0.9997004551816853,0.9997025044627564
0.2,95.0,500000,8,0.013297945413292746,0.00033357590441893516,1589.2043581862483,0.999682880637179,0.9996853257075324
0.2,100.0,500000,8,0.011327505041067068,0.00031219734377277555,1316.467435858593,0.9996170400336566,0.9996201207954648
0.2,105.0,500000,8,0.009110673170394053,0.00029592705738457504,947.8324724177578,0.9994682013829943,0.9994723333034368
0.2,110.0,500000,8,0.006945506941598374,0.00028244009211709776,604.7212227301393,0.9991644981359277,0.9991728049584052
0.3,90.0,500000,8,0.020942391138897124,0.0007716758991331842,736.5168039813747,0.9993109736350084,0.9993208862464156
0.3,95.0,500000,8,0.019140016890776303,0.0007325073588266291,682.7483344947045,0.9992584824696972,0.999267384399283
0.3,100.0,500000,8,0.017074927184180837,0.000699739900934678,595.4488245262169,0.99915054815073,0.9991599319735578
0.3,105.0,500000,8,0.014890167638575428,0.0006735847637457022,488.66885947785545,0.9989636407005035,0.9989762711653971
0.3,110.0,500000,8,0.012722239856334278,0.0006523798593949682,380.29977527938223,0.9986695127271537,0.9986843634723015
0.4,90.0,500000,8,0.027299548624097638,0.0013728713486352063,395.41327877960083,0.9987085402911418,0.9987346828354824
0.4,95.0,500000,8,0.025375546866513343,0.0013209271722748224,369.0396867793141,0.9986164874475636,0.998644195773811
0.4,100.0,500000,8,0.023298951975002716,0.0012762485862711263,333.2746065166961,0.9984697269790314,0.99849859364885
0.4,105.0,500000,8,0.02115467999422722,0.0012386555470693338,291.68346908678024,0.9982532067842164,0.9982843229614762
0.4,110.0,500000,8,0.01901973962780541,0.0012076711529593956,248.03430398127836,0.9979495550313008,0.9979820891452319
